,bhk,type,area,price,region
28007,2,Apartment,840,9400000.0,Mira Road East
28034,3,Apartment,1450,18100000.0,Mira Road East
28041,2,Apartment,880,8900000.0,Mira Road East
28042,2,Apartment,880,9700000.0,Mira Road East
28046,3,Apartment,1100,10000000.0,Mira Road East
28055,3,Apartment,1400,18000000.0,Mira Road East
28089,2,Apartment,855,7700000.0,Mira Road East
28091,3,Apartment,1080,10000000.0,Mira Road East
28092,3,Apartment,1440,18000000.0,Mira Road East
28095,3,Apartment,1064,11000000.0,Mira Road East
28096,3,Apartment,1304,11600000.0,Mira Road East
28098,3,Apartment,1168,13000000.0,Mira Road East
28113,1,Apartment,621,6000000.0,Mira Road East
28121,2,Apartment,878,9600000.0,Mira Road East
28122,2,Apartment,663,7800000.0,Mira Road East
28123,2,Apartment,708,7500000.0,Mira Road East
28124,3,Apartment,975,12000000.0,Mira Road East
28133,2,Apartment,663,8800000.0,Mira Road East
28134,2,Apartment,875,9600000.0,Mira Road East
28153,2,Apartment,830,9300000.0,Mira Road East
28217,2,Apartment,991,9800000.0,Mira Road East
28230,2,Apartment,669,7900000.0,Mira Road East
28242,1,Apartment,541,5600000.0,Mira Road East
28246,3,Apartment,1309,11700000.0,Mira Road East
28250,3,Apartment,1460,18000000.0,Mira Road East
28254,3,Apartment,1420,18000000.0,Mira Road East
28257,1,Apartment,510,5400000.0,Mira Road East
28308,3,Apartment,923,49500000.0,Khar
28309,2,Apartment,1150,16500000.0,Chembur
28310,2,Apartment,856,15000000.0,Chembur
28311,1,Apartment,525,10000000.0,other
28312,2,Apartment,1100,16000000.0,other
28313,1,Apartment,523,8000000.0,Chembur
28317,1,Apartment,713,4300000.0,Panvel
28318,3,Apartment,1450,12900000.0,Kamothe
28324,2,Apartment,925,8600000.0,Mira Road East
28325,1,Apartment,550,5700000.0,Mira Road East
28326,2,Apartment,1245,14700000.0,Airoli
28327,3,Apartment,1676,18500000.0,Kurla
28328,1,Apartment,650,4400000.0,Thane West
28329,1,Studio Apartment,418,1435000.0,Neral
28330,2,Apartment,1245,20000000.0,Airoli
28335,1,Apartment,403,6516000.0,Thane West
28336,2,Apartment,653,10500000.0,Thane West
28337,2,Apartment,651,10500000.0,Thane West
28338,2,Apartment,1050,12200000.0,Airoli
28339,1,Studio Apartment,365,7200000.0,Andheri West
28342,3,Apartment,1800,75000000.0,Bandra West
28343,5,Apartment,7600,220000000.0,Andheri West
28344,2,Apartment,910,4700000.0,Panvel
28348,1,Apartment,590,3005000.0,Naigaon East
28349,2,Apartment,775,3947000.0,Naigaon East
28350,1,Apartment,615,3132000.0,Naigaon East
28351,2,Apartment,915,4661000.0,Naigaon East
28373,2,Apartment,646,14500000.0,Malad East
28376,3,Apartment,1680,21000000.0,Airoli
28492,2,Apartment,730,18500000.0,Malad East
28494,3,Apartment,1074,27500000.0,Malad East
28500,2,Apartment,920,46000000.0,Worli
28504,4,Apartment,2488,85000000.0,Wadala
28505,3,Apartment,1335,60000000.0,Sion
28507,2,Apartment,893,41500000.0,Lower Parel
28512,3,Apartment,1611,67000000.0,Wadala
28514,4,Apartment,1704,90000000.0,Worli
28515,4,Apartment,2414,70000000.0,Lower Parel
28516,3,Apartment,1276,60000000.0,Sion
28517,2,Apartment,930,42000000.0,Sion
28518,3,Apartment,1683,49500000.0,Lower Parel
28536,1,Apartment,681,2245000.0,Neral
28537,3,Apartment,1490,45000000.0,Powai
28538,2,Apartment,910,19500000.0,Powai
28552,2,Apartment,1246,6100000.0,Panvel
28553,2,Apartment,1146,6000000.0,Panvel
28564,3,Apartment,1100,23500000.0,Chembur
28565,3,Apartment,1300,30000000.0,Chembur
28566,1,Apartment,850,13000000.0,Chembur
28567,1,Apartment,530,10000000.0,Chembur
28568,1,Apartment,1450,27000000.0,Mulund West
28569,1,Apartment,1050,22500000.0,Sion
28573,2,Apartment,1150,12500000.0,Airoli
28587,1,Apartment,476,6900000.0,Malad East
28596,1,Apartment,579,14400000.0,Powai
28599,3,Apartment,1600,19000000.0,Thane West
28600,2,Apartment,1000,11700000.0,Thane West
28603,1,Apartment,710,22500000.0,Parel
28604,2,Apartment,1115,33000000.0,Parel
28605,1,Apartment,1015,32500000.0,Parel
28608,1,Studio Apartment,400,7000000.0,Borivali West
